Surprise(%),shortTermInvestments,cashflowFromInvestment,commonStockSharesOutstanding,cashAndCashEquivalentsAtCarryingValue,longTermDebt,investments,currentAccountsPayable,deferredRevenue,otherNonOperatingIncome,Shift_Reported_EPS
2.47,73500000000,-2781000000,12322000000,27225000000,8900000000,179152000000,6092000000,5236000000,140000000,2.12
24.77,83597000000,-8564000000,12381000000,24493000000,9000000000,200943000000,6198000000,4894000000,255000000,1.89
2.98,86868000000,-6167000000,12460000000,24048000000,14862000000,203704000000,7493000000,5048000000,-47000000,1.89
6.84,89233000000,-7150000000,12541000000,30702000000,10600000000,209190000000,5803000000,5187000000,120000000,1.64
7.54,92403000000,-10800000000,12629000000,25929000000,11099000000,214416000000,5313000000,4513000000,94000000,1.55
9.72,89178000000,-2946000000,12722000000,25924000000,11199000000,208310000000,4184000000,4325000000,132000000,1.44
-10.73,91883000000,-6227000000,12849000000,21879000000,15312000000,212885000000,5128000000,4507000000,104000000,1.17
-15.14,94275000000,-833000000,12971000000,21984000000,14653000000,129424000000,6303000000,4179000000,143000000,1.05
-5.41,107061000000,-4187000000,13078000000,17936000000,12850000000,142135000000,4409000000,3744000000,259000000,1.06
-5.0,113084000000,-9051000000,658763000,20886000000,14791000000,147340000000,3436000000,3697000000,-125000000,1.21
12.24,118704000000,-11016000000,662121000,20945000000,15440000000,152164000000,6037000000,3823000000,120000000,1.23
19.21,118284000000,-10050000000,664682000,23719000000,12300000000,146960000000,4616000000,6978000000,8000000,1.53
40.94,112233000000,-9074000000,667637000,23630000000,12400000000,140465000000,4708000000,6425000000,-90000000,1.4
66.18,108482000000,-5383000000,671094000,26622000000,14000000000,142520000000,4801000000,3220000000,373000000,1.36
40.25,110229000000,-7281000000,675222000,26465000000,15319000000,138984000000,5589000000,3024000000,-420000000,1.31
45.27,112467000000,-15197000000,677724000,20129000000,14899000000,134397000000,4391000000,2756000000,-88000000,1.12
23.42,103338000000,-8448000000,681215000,17742000000,5297000000,122355000000,4064000000,2458000000,-147000000,0.82
-4.41,97585000000,-1847000000,683972000,19644000000,5512000000,114470000000,4099000000,2288000000,18000000,0.51
22.49,101177000000,-4703000000,688335000,18498000000,4685000000,119195000000,5561000000,2266000000,-72000000,0.49
-13.29,105145000000,-8945000000,690906000,16032000000,3956000000,124290000000,4142000000,2043000000,68000000,0.77
25.78,104469000000,-10455000000,694050000,16587000000,3954000000,222621000000,3925000000,2104000000,53000000,0.54
12.12,94340000000,-5388000000,694782000,19148000000,3952000000,204944000000,3710000000,2104000000,53000000,0.71
18.05,92439000000,-6876000000,695556000,16701000000,4062000000,199328000000,4378000000,2180000000,68000000,0.6
25.32,92973000000,-10408000000,695957000,13443000000,3948000000,200680000000,3789000000,2180000000,49000000,0.64
22.5,88106000000,-3374000000,695946000,14148000000,3947000000,191247000000,3369000000,2180000000,49000000,0.65
6.99,90227000000,-7846000000,694945000,12658000000,3944000000,104645000000,3526000000,1911000000,212000000,0.59
-2.8,91156000000,-6974000000,694783000,10715000000,4026000000,104357000000,3137000000,1772000000,43000000,0.5
14.91,89562000000,-14404000000,694790000,10581000000,3964000000,101706000000,2674000000,1615000000,47000000,0.49
11.67,79002000000,-7172000000,692876000,15711000000,3955000000,90410000000,2488000000,1571000000,34000000,0.48
4.59,74307000000,-2851000000,692108000,18132000000,3937000000,84840000000,2306000000,1471000000,34000000,0.25
-2.95,73415000000,-4702000000,691293000,12918000000,4000000000,84085000000,2041000000,1301000000,35000000,0.39
5.02,73650000000,-13045000000,689136000,9406000000,3938000000,83583000000,2175000000,1092000000,22000000,0.47
4.72,64833000000,-7173000000,686778000,13627000000,1984000000,75341000000,1716000000,1051000000,18000000,0.45
-5.87,60153000000,-6245000000,686792000,15111000000,1987000000,69819000000,1667000000,1064000000,13000000,0.42
6.98,56517000000,-5487000000,687348000,16549000000,3225000000,65462000000,1931000000,939000000,35000000,0.38
2.01,54699000000,-5817000000,686902000,18068000000,1994000000,58877000000,1549000000,838000000,49000000,0.43
